lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
33.321831,-111.692877,-0.511,973,24.04,82,ACTIVE DEVELOPMENT,98.9,0.2377,50.7,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_34.png
33.207161,-111.869557,-0.327,330,8.15,82,ACTIVE DEVELOPMENT,100.0,0.2286,42.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_35.png
33.329915,-111.690562,-0.465,505,12.48,81,ACTIVE DEVELOPMENT,99.6,0.2145,41.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_36.png
33.239591,-111.585213,-0.453,254,6.28,81,ACTIVE DEVELOPMENT,100.0,0.2076,37.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_37.png
33.209311,-111.869175,-0.369,97,2.4,81,ACTIVE DEVELOPMENT,100.0,0.2696,32.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_38.png
33.272801,-111.629756,-0.468,93,2.3,80,ACTIVE DEVELOPMENT,87.1,0.2539,15.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_39.png
33.401548,-111.578999,-0.319,92,2.27,79,ACTIVE DEVELOPMENT,100.0,0.2734,45.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_40.png
33.295003,-111.623779,-0.4,167,4.13,78,ACTIVE DEVELOPMENT,100.0,0.2704,56.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_41.png
33.31982,-111.702727,-0.442,158,3.9,78,ACTIVE DEVELOPMENT,100.0,0.1807,16.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_42.png
33.408149,-111.896713,-0.426,336,8.3,75,ACTIVE DEVELOPMENT,94.9,0.2082,128.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_43.png
33.277142,-111.834045,-0.39,101,2.5,74,ACTIVE DEVELOPMENT,100.0,0.1551,17.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_44.png
33.26687,-111.778585,-0.427,129,3.19,72,ACTIVE DEVELOPMENT,100.0,0.1833,30.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_45.png
33.366942,-111.801813,-0.444,106,2.62,69,ACTIVE DEVELOPMENT,85.8,0.2337,61.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_46.png
33.324349,-111.748359,-0.348,337,8.33,67,ACTIVE DEVELOPMENT,100.0,0.0619,33.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_47.png
33.266001,-111.778958,-0.367,193,4.77,67,ACTIVE DEVELOPMENT,100.0,0.151,50.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_48.png
33.256458,-111.68398,-0.529,358,8.85,66,ACTIVE DEVELOPMENT,55.9,0.2599,76.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_49.png
