County,lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
Williamson TN,36.034773,-86.752476,-0.389,81,2.0,69,ACTIVE DEVELOPMENT,100.0,0.0841,15.1,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_32.png
Williamson TN,35.859725,-86.940361,-0.491,608,15.02,68,ACTIVE DEVELOPMENT,96.9,0.0699,25.3,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_33.png
Williamson TN,35.974803,-86.753821,-0.534,151,3.73,68,ACTIVE DEVELOPMENT,96.0,0.1489,28.0,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_34.png
Williamson TN,35.974534,-86.753132,-0.481,148,3.66,64,ACTIVE DEVELOPMENT,99.3,0.0828,23.5,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_35.png
Williamson TN,35.962453,-86.837939,-0.459,100,2.47,64,ACTIVE DEVELOPMENT,93.0,0.1578,64.0,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_36.png
Williamson TN,35.944122,-86.9783,-0.428,110,2.72,62,ACTIVE DEVELOPMENT,90.0,0.1366,42.0,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_37.png
Williamson TN,36.03915,-86.822286,-0.381,149,3.68,59,PROBABLE DEVELOPMENT,98.7,0.0656,39.8,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_38.png
Williamson TN,35.9348,-86.891821,-0.543,256,6.33,52,PROBABLE DEVELOPMENT,30.9,0.2232,98.8,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_39.png
Williamson TN,36.011859,-86.912398,-0.397,147,3.63,21,LIKELY AGRICULTURAL,20.4,0.0004,38.3,https://atlas-flc.github.io/flc-website/thumbnails/williamson_county_tn_site_40.png
Maricopa AZ SE Valley,33.171873,-111.843532,-0.66,566,13.99,98,ACTIVE DEVELOPMENT,100.0,0.4699,15.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_1.png
Maricopa AZ SE Valley,33.19343,-111.567859,-0.678,3026,74.77,96,ACTIVE DEVELOPMENT,100.0,0.464,17.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_2.png
Maricopa AZ SE Valley,33.193338,-111.560586,-0.65,2030,50.16,95,ACTIVE DEVELOPMENT,100.0,0.4605,18.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_3.png
